,date_time,price,volume,epoch
1208,2020-09-11 13:35:05.741957120,182.87,2,1599831305741957120
1209,2020-09-11 13:35:07.215967744,182.86,100,1599831307215967744
1210,2020-09-11 13:35:07.216084480,182.87,87,1599831307216084480
1211,2020-09-11 13:35:07.216099328,182.87,13,1599831307216099328
1212,2020-09-11 13:35:07.354273280,182.8841,40,1599831307354273280
1213,2020-09-11 13:35:08.404352256,182.85,35,1599831308404352256
1214,2020-09-11 13:35:10.407557120,182.81,100,1599831310407557120
1215,2020-09-11 13:35:10.427108352,182.83,100,1599831310427108352
1216,2020-09-11 13:35:10.427782400,182.84,100,1599831310427782400
1217,2020-09-11 13:35:10.427787264,182.84,100,1599831310427787264
1218,2020-09-11 13:35:10.429395968,182.84,400,1599831310429395968
1219,2020-09-11 13:35:11.477505536,182.8201,50,1599831311477505536
1220,2020-09-11 13:35:12.834712064,182.83,1000,1599831312834712064
1221,2020-09-11 13:35:12.834827008,182.83,200,1599831312834827008
1222,2020-09-11 13:35:12.838124544,182.83,100,1599831312838124544
1223,2020-09-11 13:35:12.894022656,182.83,300,1599831312894022656
1224,2020-09-11 13:35:12.953505024,182.83,12,1599831312953505024
1225,2020-09-11 13:35:12.969863168,182.83,200,1599831312969863168
1226,2020-09-11 13:35:12.973737216,182.83,200,1599831312973737216
1227,2020-09-11 13:35:12.994772224,182.83,50,1599831312994772224
1228,2020-09-11 13:35:13.076192256,182.83,538,1599831313076192256
1229,2020-09-11 13:35:13.076197120,182.82,100,1599831313076197120
1230,2020-09-11 13:35:13.076197120,182.82,100,1599831313076197120
1231,2020-09-11 13:35:19.218177024,182.81,5,1599831319218177024
1232,2020-09-11 13:35:19.415031040,182.8,4,1599831319415031040
1233,2020-09-11 13:35:19.418705152,182.815,211,1599831319418705152
1234,2020-09-11 13:35:19.585837568,182.812,25,1599831319585837568
1235,2020-09-11 13:35:19.633542912,182.812,100,1599831319633542912
1236,2020-09-11 13:35:19.899891200,182.82,1,1599831319899891200
1237,2020-09-11 13:35:20.025275392,182.83,100,1599831320025275392
1238,2020-09-11 13:35:21.703993344,182.86,64,1599831321703993344
1239,2020-09-11 13:35:21.941628416,182.89,1,1599831321941628416
1240,2020-09-11 13:35:22.184035072,182.88,7,1599831322184035072
1241,2020-09-11 13:35:22.185207808,182.88,1,1599831322185207808
1242,2020-09-11 13:35:22.770310144,182.9,100,1599831322770310144
1243,2020-09-11 13:35:22.770350336,182.9,99,1599831322770350336
1244,2020-09-11 13:35:22.770400512,182.9,80,1599831322770400512
1245,2020-09-11 13:35:22.770425600,182.9,120,1599831322770425600
1246,2020-09-11 13:35:24.065486080,182.95,100,1599831324065486080
1247,2020-09-11 13:35:25.502145024,182.94,20,1599831325502145024
1248,2020-09-11 13:35:25.502153472,182.94,100,1599831325502153472
1249,2020-09-11 13:35:25.502419200,182.94,100,1599831325502419200
1250,2020-09-11 13:35:25.502464768,182.94,100,1599831325502464768
1251,2020-09-11 13:35:28.186583552,182.94,1,1599831328186583552
1252,2020-09-11 13:35:31.809384704,182.94,100,1599831331809384704
1253,2020-09-11 13:35:32.281365504,182.95,5,1599831332281365504
1254,2020-09-11 13:35:32.862528512,182.95,1,1599831332862528512
1255,2020-09-11 13:35:33.415059200,182.96,26,1599831333415059200
1256,2020-09-11 13:35:33.852464896,182.94,100,1599831333852464896
1257,2020-09-11 13:35:34.107913216,182.93,100,1599831334107913216
